ID,Name,Type,Link,Status,DueDate,Comments,Flagged,FlagNote,SuggestedReopenDate,Description
1,NASA intership Program,Internship,https://www.nasa.gov/learning-resources/nasa-community-college-aerospace-scholars/,Open,,,true,No due date listed on import — please verify and update.,,"A 5-week, self-paced online course through NASA's Community College Aerospace Scholars program. Students dive into NASA's current missions and how they can contribute, complete STEM-based activities with live and recorded lectures from NASA subject matter experts, and work in teams to design and present a Mars rover mission."
2,Stanford Research Opportunites,Internship,https://ccop.stanford.edu/more-opportunities,Open,,About 6 programs for community college students,true,No due date listed on import — please verify and update.,,"A directory of paid, hands-on Stanford research programs built for community college students, most running about 10 weeks over the summer. Options range from CCOP's biosciences lab placements to the Aeronautics and Astronautics Community Research Experience (AACRE) and Inclusive Mentoring in Data Science, each pairing students with a Stanford mentor for real research experience."
3,Microfluid Summer Research program,Internship,https://www.stanfordmicrofluidics.com/summer-research-program,Close,2026-03-31,,false,,,
4,Nano Stanford Internship,Internship,https://nanolabs.stanford.edu/education/internships,Close,2026-02-23,,false,,,
5,Department of Energy Community College Intership Program,Internship,https://careers.slac.stanford.edu/community-college-internship-cci,Open,2026-09-30,Open for Spring 27 term,false,,,"A paid, 10-week, in-person internship at SLAC National Accelerator Laboratory, sponsored by the U.S. Department of Energy. Interns receive a $650/week stipend while working alongside a mentor on real technology, instrumentation, or research projects supporting SLAC's mission, wrapping up with a research paper and presentation."
6,Stanford Summer Research,Internship,https://compression.stanford.edu/outreach/shtem-summer-internships-high-schoolers-and-community-college-students,Close,2026-02-01,,false,,,
7,Stanford Cardio Vascular Institute Summer Research Program,Internship,https://med.stanford.edu/cvi/education/cvi-summer-research-program.html,Close,2025-12-19,,false,,,
8,Standford CCOP Fall 2026 Research Program,Internship,https://docs.google.com/forms/d/e/1FAIpQLSdEc7jw_arLvOigdnmzijugHug1pkmBW4RNjvhnN8gjH1u7Fg/viewform,Close,2026-07-24,MESA exclusive,false,,,
9,Stanford Summer Session,Internship,https://summer.stanford.edu/cost/tuition-grants,Close,2026-02-13,,false,,,
10,Stanford CCOP CORE Application,Internship,https://www.ccop.stanford.edu/core,Close,2026-01-15,,false,,,
11,Stanford University Aeronautics & Astronautics Community Research Experience (AACRE),Internship,https://bit.ly/AACRE2025,Close,,AACRE is a 10-week summer program Need student login,false,,,
12,Stanford Nephrology Pre-Renal Initative,Internship,https://med.stanford.edu/nephrology/education/prerenal,On Hold,,Check back for Summer 2027,true,No due date listed on import — please verify and update.,,
13,Genentech Community College Internship Program,Internship,https://careers.gene.com/us/en/job/202511-129848/2026-Summer-Genentech-Community-College-Internship-Program-Operations,Close,2025-12-08,https://docs.google.com/forms/d/e/1FAIpQLSehiGLKeXBM1_xBA1kDpTuqGG0EcXzb3LxI6IdYlOnS5JsvaQ/viewform,false,,,
14,Physics REU UC Santa Barbara,Internship,https://reu.physics.ucsb.edu/,Close,2026-02-08,Summer research in physics and astronomy at UC Santa Barbara,false,,,
15,Biological Research at SFSU,Internship,https://eoscenter.sfsu.edu/reu,On Hold,,,true,No due date listed on import — please verify and update.,,
16,UC Santa Cruz Lamat REU,Internship,https://lamat.science.ucsc.edu/students/,Close,,Applications for Lamat 2027 will open October 2026,false,,,
17,UC Santa Cruz Materials Science & Engineering REU,Internship,https://materials.ucsc.edu/research-experiences-for-undergraduates-reu/,Close,2026-02-02,Will open June 21 to August 15,false,,,
18,Inclusive Mentorship in Data Science,Internship,https://dbds.stanford.edu/data-science-mentoring/,Close,,,false,,,
19,VA-Pavir Summer Research Program for Undergraduate Students,Internship,https://www.pavir.org/what-we-do/featured-projects/va-pavir-summer-research-program/,Close,,,false,,,
20,California Academy of Sciences Summer Research,Internship,https://www.calacademy.org/summer-systematics-institute,Close,2026-01-31,Applications will open December 2026,false,,,
21,Valley Water's Summer Internship Program,Internship,https://www.governmentjobs.com/careers/scvwd/jobs/5153378/2026-water-works-program-application,Close,2025-12-21,Check website for updates,false,,,
22,Health Career Connection,Internship,https://www.healthcareers.org/internship-program/,On Hold,,The application for the Summer 2027 Programs Application will open in fall 2026,true,No due date listed on import — please verify and update.,,
23,PUMAS Summer Internship Program,Internship,https://gladstone.org/training/pumas-summer-internship-program,Close,2026-03-09,,false,,,
24,Developing Future Biologists: Summer Research Intensive,Internship,https://www.developingfuturebiologists.com/#about,Close,2026-02-06,"For Bio, CHM and Pre-Med",false,,,
25,Materials REU UC Irvine,Internship,https://ccam.uci.edu/education-and-outreach/materials-reu/,Close,2026-01-31,,false,,,
26,Advancing Space Science through Undergraduate Research Experience (ASSURE),Internship,"https://www.ssl.berkeley.edu/assure/#:~:text=Advancing%20Space%20Science%20through%20Undergraduate%20Research%20Experience%20%28ASSURE%29,environment%2C%20our%20Solar%20System%2C%20and%20the%20wider%20cosmos.",On Hold,,Issues with federal funding. Check back in Fall 2026,true,No due date listed on import — please verify and update.,,
27,Undergraduate Summer Research Opportunities at C-GEM,Internship,https://gem-net.net/join/undergrads/,Close,2026-02-01,,false,,,
28,National Institute for Innovation in Manufacturing Biopharmaceuticals,Internship,NIIMBL eXperience - NIIMBL,Close,2026-02-05,,false,,,
29,CCCP Scholars Program - UC Transfer prep program,Internship,https://cccp.ucla.edu/scholars-program/apply/#apply,Close,,,false,,,
30,MBARI’s Summer Internship Program - Monterrey Bay Aquarium,Internship,https://www.mbari.org/about/careers/internships/,Close,2026-03-09,,false,,,
31,REU Boston University internship program,Internship,https://www.bu.edu/photonics-programs/reu/apply/,Close,2026-03-15,All STEM majors from 2- and 4-year colleges are invited to apply. No prior research experience is required.,false,,,
32,Quantum Foundry Undergraduate Research Internship Summer,Internship,https://quantumfoundry.ucsb.edu/education/undergraduate,Close,2026-02-08,,false,,,
33,Shenoy Undergraduate Research Fellowship in Neuroscience (SURFiN),Internship,https://www.simonsfoundation.org/grant/shenoy-undergraduate-research-fellowship-in-neuroscience-surfin/?tab=rfa,Close,2026-04-21,,false,,,
